MakeModel,Crew,Seats,CruiseSpeed,GPH,FuelType,MTOW,EmptyWeight,Price,Ext1,LTip,LAux,LMain,Center1,Center2,Center3,RMain,RAux,RTip,RExt2,Engines,EnginePrice,
Martin 404,3,42,260,200,0,20366,14786,3110583.00,0,0,0,675,0,0,0,675,0,0,0,2,66000.00,
Maule M-7,0,5,140,15,0,1250,681,152250.00,0,0,15,22,0,0,0,22,15,0,0,1,22000.00,
Messerschmitt Bf 108 B,0,4,144,16,0,1379,863,156000.00,0,0,0,16,21,0,0,16,0,0,0,1,22000.00,
Meyers 200D,0,4,141,14,0,1361,900,154500.00,0,0,20,20,0,0,0,20,20,0,0,1,22000.00,
Mitsubishi MU-2B,0,9,270,80,1,5250,3470,564000.00,0,90,0,35,154,0,0,35,0,90,0,2,114000.00,
Mooney M20 Bravo,0,4,195,14,0,1528,993,223500.00,0,0,0,48,0,0,0,48,0,0,0,1,44000.00,
Mooney M20 Juliet,0,4,170,11,0,1243,744,192450.00,0,0,0,33,0,0,0,33,0,0,0,1,44000.00,
Morane-Saulnier MS-760,0,4,375,300,1,7409,4939,245000.00,0,0,120,109,217,0,0,109,120,0,0,2,160000.00,
New Standard D25A,0,5,90,14,0,1517,932,120300.00,0,0,0,32,0,0,0,32,0,0,0,1,66000.00,
Noorduyn Norseman,0,10,130,18,0,3618,2052,332100.00,0,0,0,128,0,0,0,128,0,0,0,1,22000.00,
North American B-25,0,10,180,235,0,16363,9610,324000.00,0,0,152,335,215,0,0,335,152,0,0,2,66000.00,
North American P-51D Mustang,0,2,240,65,0,5626,3263,75750.00,0,0,75,92,85,0,0,92,75,0,0,1,66000.00,
North American T-28 Trojan,0,2,250,95,0,3856,2914,50250.00,0,0,0,88,0,0,0,88,0,0,0,1,44000.00,
North American T-39 Sabreliner,1,9,430,130,1,11285,7527,994500.00,0,0,0,575,0,0,0,575,0,0,0,2,114000.00,
North American T-6G Texan,0,2,150,63,0,3572,2384,77400.00,0,0,0,90,90,0,0,90,0,0,0,1,66000.00,
Pacific Aerospace 750XL,0,10,160,48,1,3402,1393,381600.00,0,0,0,75,0,0,0,77,0,0,0,1,114000.00,
Piaggio 166 Albatross,0,6,180,40,0,3950,2700,228000.00,0,0,87,44,59,0,0,44,87,0,0,2,114000.00,
Piaggio 180 Avanti,0,9,340,110,1,5240,3400,700500.00,0,0,0,105,105,105,0,105,0,0,0,2,114000.00,
Piaggio P-149D,0,4,150,15,0,1824,1167,119250.00,0,0,12,20,0,0,0,20,12,0,0,1,22000.00,
Pilatus PC-12,0,11,270,45,1,4500,2605,762750.00,0,0,0,203,0,0,0,203,0,0,0,1,114000.00,
Pilatus PC-6 Porter,0,12,120,40,1,2750,1250,357900.00,0,0,64,87,0,0,0,87,64,0,0,1,114000.00,
Piper J-3 Cub,0,2,73,4,0,593,308,17700.00,0,0,0,0,12,0,0,0,0,0,0,1,22000.00,
Piper PA-12 Super Cruiser RTW,0,3,101,8,0,900,476,82500.00,0,0,0,19,50,0,0,19,0,0,0,1,22000.00,
Piper PA-18 Super Cub,0,3,105,8,0,900,476,23100.00,0,0,0,18,0,0,0,18,0,0,0,1,22000.00,
Piper PA-20 Pacer,0,4,109,9,0,816,455,88650.00,0,0,0,18,0,0,0,18,0,0,0,1,22000.00,
Piper PA-22 Super Pacer,0,4,104,11,0,998,528,82050.00,0,0,0,22,0,0,0,22,0,0,0,1,22000.00,
Piper PA-22 Tri-Pacer,0,4,117,9,0,907,528,95850.00,0,0,0,18,0,0,0,18,0,0,0,1,22000.00,
Piper PA-23 Apache,0,4,166,11,0,1602,1004,137850.00,0,0,0,36,0,0,0,36,0,0,0,2,44000.00,
Piper PA-23 Aztec,0,6,180,25,0,2358,1483,243750.00,0,0,36,36,0,0,0,36,36,0,0,2,44000.00,
Piper PA-24 Comanche,0,4,140,14,0,1451,859,153300.00,0,0,0,45,0,0,0,45,0,0,0,1,22000.00,
Piper PA-24 Comanche (A2A),0,4,140,14,0,1451,859,153300.00,0,15,0,30,0,0,0,30,0,15,0,1,22000.00,
Piper PA-28 Archer,0,4,110,10,0,1156,727,88500.00,0,0,0,24,0,0,0,24,0,0,0,1,22000.00,
Piper PA-28 Arrow,0,4,140,12,0,1315,756,113400.00,0,0,0,37,0,0,0,37,0,0,0,1,22000.00,
Piper PA-28 Cherokee 180,0,4,110,10,0,1088,555,88500.00,0,0,0,25,0,0,0,25,0,0,0,1,22000.00,
Piper PA-28 Dakota,0,4,150,12,0,1360,776,122400.00,0,0,0,39,0,0,0,39,0,0,0,1,22000.00,
Piper PA-28 Warrior,0,4,115,11,0,1108,700,91950.00,0,0,0,24,0,0,0,24,0,0,0,1,22000.00,
Piper PA-30 Twin Comanche,0,4,165,16,0,1693,1124,131700.00,27,15,15,0,0,0,0,0,15,15,27,2,44000.00,
Piper PA-31 Navajo,0,8,162,25,0,3188,1927,313950.00,0,0,40,82,0,0,0,82,40,0,0,2,44000.00,
Piper PA-31T Cheyenne II,0,6,275,107,1,4082,2257,300150.00,0,19,0,164,0,0,0,164,0,19,0,2,114000.00,
Piper PA-31T1 Cheyenne I/IA,0,6,243,80,1,3946,2318,280500.00,0,19,0,164,0,0,0,164,0,19,0,2,114000.00,
Piper PA-31T2 Cheyenne IIXL,0,8,275,102,1,4297,2489,470400.00,0,19,0,164,0,0,0,164,0,19,0,2,114000.00,
Piper PA-32 Cherokee Six/ Saratoga,0,6,160,14,0,1640,950,225300.00,0,0,0,49,0,0,0,49,0,0,0,1,44000.00,
Piper PA-32 Saratoga TC,0,6,175,19,0,1650,991,240300.00,0,0,0,51,0,0,0,51,0,0,0,1,44000.00,
Piper PA-34 Seneca,0,6,187,24,0,2630,1417,255300.00,0,0,32,32,0,0,0,32,32,0,0,2,44000.00,
Piper PA-38 Tomahawk,0,2,124,9,0,757,512,27750.00,0,0,0,15,0,0,0,15,0,0,0,1,22000.00,
Piper PA-42-1000 Cheyenne 400,0,12,300,105,1,6174,3563,879750.00,0,0,40,250,0,0,0,250,40,0,0,2,114000.00,
Piper PA-44 Seminole,0,4,155,22,0,1730,1183,162900.00,0,0,0,54,0,0,0,54,0,0,0,2,44000.00,
Piper PA-46 Meridian,0,6,235,35,1,2265,1533,351150.00,0,0,0,85,0,0,0,85,0,0,0,1,114000.00,
Piper PA-60 Aerostar,0,6,200,42,0,2883,2111,255900.00,0,0,0,65,85,0,0,65,0,0,0,2,44000.00,
PZL Wilga,0,4,90,10,0,1300,890,70500.00,0,0,0,22,0,0,0,22,0,0,0,1,22000.00,
Quest Kodiak,0,10,180,75,1,3100,1522,407250.00,0,0,0,160,0,0,0,160,0,0,0,1,114000.00,
Rans S-7 Courier,0,2,110,5,0,544,306,111750.00,0,0,0,9,0,0,0,9,0,0,0,1,22000.00,
Raytheon Beechjet / Hawker,1,11,400,160,1,7484,4717,880000.00,0,0,0,213,316,0,0,213,0,0,0,2,160000.00,
Raytheon Premier1,0,8,400,135,1,5715,3634,698250.00,0,0,0,275,0,0,0,275,0,0,0,2,160000.00,
Republic Seabee,0,4,115,11,0,1429,993,125460.00,0,0,0,0,75,0,0,0,0,0,0,1,22000.00,
Robin DR400,0,4,140,14,0,1100,638,155460.00,0,0,0,11,27,0,0,11,0,0,0,1,22000.00,
Robin/Apex DR221,0,4,115,7,0,930,480,96150.00,0,0,0,0,29,0,0,0,0,0,0,1,22000.00,
Robinson R22,0,2,96,9,0,621,376,19350.00,0,0,0,19,0,0,0,10,0,0,0,1,22000.00,
Robinson R44,0,4,113,14,0,1090,635,87000.00,0,0,0,19,0,0,0,11,0,0,0,1,22000.00,
Rockwell Commander 114,0,4,150,15,0,1424,855,152712.00,0,0,0,34,0,0,0,34,0,0,0,1,66000.00,
Ryan L-17 Navion,0,5,125,15,0,1305,831,217919.00,0,0,0,20,21,0,0,20,0,0,0,1,22000.00,
Saab 2000,4,52,370,372,1,23000,14500,5261400.00,0,0,0,442,0,0,0,442,0,0,0,2,143000.00,
Saab 340B,3,38,290,150,1,13155,8620,2797500.00,0,0,0,433,0,0,0,433,0,0,0,2,143000.00,
SAAB Scandia 90,2,34,225,250,0,16500,9960,1972500.00,0,0,0,400,0,0,0,400,0,0,0,2,66000.00,
Shorts SD3-60,3,40,240,360,1,11793,6758,2412000.00,0,0,0,368,0,0,0,368,0,0,0,2,160000.00,
Shorts Skyvan,1,19,168,62,1,5670,3341,761700.00,0,0,0,195,0,0,0,195,0,0,0,2,114000.00,
SIAI-Marchetti SF260,0,3,170,15,0,1182,796,86250.00,0,0,18,12,0,0,0,12,18,0,0,1,44000.00,
SIAI-Marchetti SM.1019A,0,3,180,40,1,1550,690,120000.00,0,0,0,41,0,0,0,41,0,0,0,1,114000.00,
Sikorsky S-43,1,18,160,55,0,8662,5783,680250.00,0,0,0,150,50,0,0,150,0,0,0,2,66000.00,
Sikorsky S-55,1,14,107,100,0,3720,2381,286295.00,0,0,0,0,250,0,0,0,0,0,0,1,66000.00,
Sikorsky S-76,1,14,120,90,1,4773,2695,379500.00,0,0,0,141,0,0,0,141,0,0,0,1,114000.00,
Socata TB-10 Tobago,0,4,127,11,0,1150,730,102750.00,0,0,0,27,0,0,0,27,0,0,0,1,22000.00,
Socata TB21GT Trinidad,0,4,148,16,0,1400,800,116400.00,0,0,0,44,0,0,0,44,0,0,0,1,22000.00,
Socata TBM 700,0,7,255,50,1,2985,1823,406500.00,0,0,0,140,0,0,0,140,0,0,0,1,114000.00,
Socata TBM 850,0,7,310,64,1,3353,2081,490800.00,0,0,0,150,0,0,0,150,0,0,0,1,114000.00,
Spartan 7W Executive,0,5,187,26,0,1995,1242,197100.00,0,0,0,32,15,16,16,32,0,0,0,1,66000.00,
Stinson 108,0,4,105,10,0,1088,599,84000.00,0,0,0,25,0,0,0,25,0,0,0,1,22000.00,
Stinson L-5B Sentinel,0,2,80,7,0,929,702,40650.00,0,0,0,18,0,0,0,18,0,0,0,1,22000.00,
Stinson Reliant,0,4,124,14,0,1701,1114,96900.00,0,0,0,41,0,0,0,41,0,0,0,1,22000.00,
Supermarine Walrus MK 1,0,11,110,30,0,3650,2220,331500.00,0,0,0,90,0,0,0,90,0,0,0,1,22000.00,
Tecnam P92 Echo,0,2,105,12,0,580,284,100718.00,0,0,0,35,0,0,0,35,0,0,0,1,22000.00,
Tupolev Tu-124,5,58,420,500,1,38290,22493,6501750.00,633,125,393,0,1152,0,0,0,393,125,633,2,160000.00,
Van's RV-7/7A,0,2,180,12,0,816,495,41400.00,0,0,0,21,0,0,0,21,0,0,0,1,22000.00,
Vickers Viscount,5,63,285,285,1,31876,16718,4839000.00,0,0,240,792,0,0,0,792,240,0,0,4,143000.00,
Waco Classic YMF,0,3,115,21,0,1474,1136,46950.00,0,0,0,24,0,0,0,24,0,0,0,1,66000.00,
Westland Seaking,2,26,120,175,1,9707,6202,620250.00,0,0,0,340,0,0,0,340,0,0,0,1,114000.00,
Yakovlev Yak-12A,0,4,120,18,0,1500,1026,89100.00,0,0,0,24,0,0,0,24,0,0,0,1,22000.00,
Yakovlev Yak-18T,0,4,120,11,0,1650,1217,96450.00,0,0,0,26,0,0,0,26,0,0,0,1,22000.00,
Yakovlev Yak-40,2,32,254,369,1,16100,9400,1990950.00,0,0,0,723,0,0,0,723,0,0,0,3,160000.00,
Zenair CH 801,0,4,106,10,0,1000,522,84900.00,0,0,0,15,0,0,0,15,0,0,0,1,22000.00,
Zepplin NT,1,6,70,51,0,600,60,42450.00,0,0,0,3,3,0,0,3,0,0,0,3,22000.00,
Zlin Z-43,0,4,123,14,0,1350,830,96000.00,0,0,0,16,0,0,0,16,0,0,0,1,22000.00,

